Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2022-11-13 10:48:33,"Cardio Run",34m,"Running (Treadmill)",1,0,0,0,1800,"","",
2022-11-14 07:15:24,"Test Workout A",1h 3m,"Squat (Barbell)",1,44.99999997795377,5,0,0,"","https://jcdfitness.com/jcdfitness-beginners-muscle-building-routine",
2022-11-14 07:15:24,"Test Workout A",1h 3m,"Squat (Barbell)",2,74.99999999999999,5,0,0,,,
2022-11-14 07:15:24,"Test Workout A",1h 3m,"Squat (Barbell)",3,95.0,3,0,0,,,
2022-11-14 07:15:24,"Test Workout A",1h 3m,"Squat (Barbell)",4,155.0,8,0,0,,,
2022-11-14 07:15:24,"Test Workout A",1h 3m,"Squat (Barbell)",5,155.0,8,0,0,,,
2022-11-14 07:15:24,"Test Workout A",1h 3m,"Squat (Barbell)",6,155.0,8,0,0,,,
2022-11-14 07:15:24,"Test Workout A",1h 3m,"Lunge (Dumbbell)",1,25.0,10,0,0,"",,
2022-11-14 07:15:24,"Test Workout A",1h 3m,"Lunge (Dumbbell)",2,25.0,10,0,0,,,
2022-11-14 07:15:24,"Test Workout A",1h 3m,"Lunge (Dumbbell)",3,25.0,10,0,0,,,
2022-11-14 07:15:24,"Test Workout A",1h 3m,"Bench Press (Barbell)",1,135.0,8,0,0,"",,
2022-11-14 07:15:24,"Test Workout A",1h 3m,"Bench Press (Barbell)",2,135.0,8,0,0,,,
2022-11-14 07:15:24,"Test Workout A",1h 3m,"Bench Press (Barbell)",3,135.0,8,0,0,,,
2022-11-14 07:15:24,"Test Workout A",1h 3m,"Bent Over Row (Barbell)",1,115.0,8,0,0,"",,
2022-11-14 07:15:24,"Test Workout A",1h 3m,"Bent Over Row (Barbell)",2,115.0,8,0,0,,,
2022-11-14 07:15:24,"Test Workout A",1h 3m,"Bent Over Row (Barbell)",3,115.0,8,0,0,,,
2022-11-16 06:54:38,"Test Workout B",1h 5m,"Deadlift (Barbell)",1,225.0,8,0,0,"Work up to a heavy set of 8 reps with good form. Then use 70% of your 8-rep max for the following sets of 2×8-10. \n\nMake sure you work up in weights similar to how I described warming up for your work sets and work all the way up to an 8 rep max (RM) (the most you can do with good form).\n\nThen for the next 2 sets of 8-10, I want you to drop the weight down by 30% and finish your 2 sets with this weight.\n\nSo, if you do 225lbs for your top set of 8, dropping that to 70% of your 8RM means your 2nd and 3rd set will be about ~160lbs.\n\nOver time, if you can get more than 10 reps on your 2nd and 3rd set with this figure, drop it to 80% instead of 70%.","",
2022-11-16 06:54:38,"Test Workout B",1h 5m,"Deadlift (Barbell)",2,160.0,10,0,0,,,
2022-11-16 06:54:38,"Test Workout B",1h 5m,"Deadlift (Barbell)",3,160.0,10,0,0,,,
2022-11-16 06:54:38,"Test Workout B",1h 5m,"Leg Press",1,180.0,10,0,0,"",,
2022-11-16 06:54:38,"Test Workout B",1h 5m,"Leg Press",2,180.0,10,0,0,,,
2022-11-16 06:54:38,"Test Workout B",1h 5m,"Leg Press",3,180.0,10,0,0,,,
2022-11-16 06:54:38,"Test Workout B",1h 5m,"Back Extension",1,10.0,10,0,0,"",,
2022-11-16 06:54:38,"Test Workout B",1h 5m,"Back Extension",2,10.0,10,0,0,,,
2022-11-16 06:54:38,"Test Workout B",1h 5m,"Back Extension",3,10.0,10,0,0,,,
2022-11-16 06:54:38,"Test Workout B",1h 5m,"Overhead Press (Dumbbell)",1,35.0,10,0,0,"keep a neutral grip, which means you keep your palms facing each other",,
2022-11-16 06:54:38,"Test Workout B",1h 5m,"Overhead Press (Dumbbell)",2,35.0,10,0,0,,,
2022-11-16 06:54:38,"Test Workout B",1h 5m,"Overhead Press (Dumbbell)",3,35.0,10,0,0,,,
2022-11-16 06:54:38,"Test Workout B",1h 5m,"Lat Pulldown (Machine)",1,100.0,10,0,0,"",,
2022-11-16 06:54:38,"Test Workout B",1h 5m,"Lat Pulldown (Machine)",2,100.0,10,0,0,,,
2022-11-16 06:54:38,"Test Workout B",1h 5m,"Lat Pulldown (Machine)",3,100.0,10,0,0,,,
2022-11-18 07:13:11,"Test Workout C",58m,"Squat (Barbell)",1,44.99999997795377,5,0,0,"","",
2022-11-18 07:13:11,"Test Workout C",58m,"Squat (Barbell)",2,95.0,5,0,0,,,
2022-11-18 07:13:11,"Test Workout C",58m,"Squat (Barbell)",3,95.0,3,0,0,,,
2022-11-18 07:13:11,"Test Workout C",58m,"Squat (Barbell)",4,155.0,8,0,0,,,
